importance_score,feature
0.003610108,count_diff_type
0.039711192,2018_version
0.039711192,PASSED
0,count_diff_SOURCE
0.010830325,HERA
0.025270758,count_diff_currency
0.039711192,version_not_known
0.014440433,FAILED
0.10108303,NONE
0.13718411,age
0.036101084,PENDING
0.007220217,BANK_TRANSFER
0.003610108,grocery_or_supermarket
0.018050542,ATM
0.028880866,manu
0.010830325,TOPUP
0.010830325,country_GIB
0.0433213,misc
0.003610108,casino
0.036101084,country_GBR
0.02166065,LETO
0.010830325,country_IRL
0.014440433,P2P
0,country_SAU
0,pet_store
0,country_UKR
0.018050542,country_ESP
0,car_repair
0.003610108,airport
0.003610108,MINOS
0,count_diff_marchants
0.028880866,GBP_amt
0.039711192,EUR_amt
0,FAILED_SIGN_IN_ATTEMPTS
0.003610108,user_different_PHONE_COUNTRY
0.02166065,EUR
0.007220217,count_diff_marchants_country
0.018050542,bank
0.003610108,convenience_store
0.003610108,CRONUS
0,country_AUS
0.007220217,OPHION
0,pharmacy
0.010830325,country_USA
0,premise
0,country_113
0.007220217,country_SGP
0,country_CYP
0,country_HKG
0,country_AUT
0,store
0.0433213,HAS_EMAIL
0,country_HUN
0.018050542,CARD_PAYMENT
0,local_government_office
0.003610108,country_REU
0.003610108,GAIA
0.003610108,train_station
0.025270758,country_FRA
0.003610108,hardware_store
0,country_SWE
0.003610108,INTERNAL
0.010830325,PLN
0.007220217,not_crypto
0,country_296
0.014440433,atm
0.007220217,cafe
0,country_VNM
0,post_office
0,shopping_mall
0,city_hall
0,food
0,hair_care
0.018050542,country_ITA
0.003610108,country_LVA
0,country_MEX
